id_bolide,date_heure,Latitude ,Longitude,Vitesse (km/s),Énergie totale rayonnée (J) ,
1,2017-07-31 22:01:35,24.7N,118.5W,,5.8e10,24.7N 118.5W
2,2017-07-23 06:12:38,6.6S,69.7W,17.2,3.5e10,6.6S 69.7W
3,2017-07-13 09:30:36,23.1N,60.7E,13.7,7.3e10,23.1N 60.7E
4,2017-06-30 14:26:45,34.3S,134.5E,15.2,9.4e10,34.3S 134.5E
5,2017-06-23 20:21:55,57.0N,143.7E,24.3,18.4e10,57.0N 143.7E
6,2017-06-20 13:41:32,54.2S,133.0E,13.6,63.6e10,54.2S 133.0E
7,2017-05-24 07:03:03,9.1S,101.8E,18.4,9.0e10,9.1S 101.8E
8,2017-05-22 17:44:39,49.6S,157.6W,,3.5e10,49.6S 157.6W
9,2017-05-14 09:30:35,26.0S,32.4E,,3.5e10,26.0S 32.4E
10,2017-04-30 21:28:28,25.7S,56.2E,21.5,15.0e10,25.7S 56.2E
11,2017-03-11 04:51:21,28.3N,60.2W,,126.3e10,28.3N 60.2W
12,2017-03-09 04:16:37,40.5N,18.0W,36.5,40.0e10,40.5N 18.0W
13,2017-03-08 22:21:59,26.1S,174.9E,,7.2e10,26.1S 174.9E
14,2017-02-25 01:22:59,29.5N,13.5E,12.2,6.5e10,29.5N 13.5E
15,2017-02-21 18:47:30,50.7S,66.0W,,3.8e10,50.7S 66.0W
16,2017-02-18 19:48:29,6.2N,60.4E,24.2,29.5e10,6.2N 60.4E
17,2017-02-07 17:37:31,27.4S,14.8W,,2.0e10,27.4S 14.8W
18,2017-02-06 06:09:59,10.4N,131.6E,,6.6e10,10.4N 131.6E
19,2016-12-23 03:29:09,21.3N,49.3E,29.7,3.8e10,21.3N 49.3E
20,2016-12-07 04:51:39,34.5S,126.6W,,11.7e10,34.5S 126.6W
21,2016-11-29 08:05:38,30.6S,93.1W,,3.1e10,30.6S 93.1W
22,2016-11-24 14:10:34,15.2S,80.3E,17.4,13.8e10,15.2S 80.3E
23,2016-11-03 17:14:29,39.6S,16.3W,,7.6e10,39.6S 16.3W
24,2016-10-01 20:23:45,36.2N,6.7E,14.2,3.1e10,36.2N 6.7E
25,2016-09-22 04:57:49,51.8S,178.5E,17.5,7.1e10,51.8S 178.5E
